,category,danger,latitude,longitude,name_en,states_name_en,unique_number
0,Cultural,1,34.84694,67.82525,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Afghanistan,230
1,Cultural,1,34.3964166667,64.5158888889,Minaret and Archaeological Remains of Jam,Afghanistan,234
2,Cultural,0,40.06944444,20.13333333,Historic Centres of Berat and Gjirokastra ,Albania,1590
3,Cultural,0,39.75111111,20.02611111,Butrint,Albania,1563
4,Mixed,0,41.06925,20.6460555556,Natural and Cultural Heritage of the Ohrid region,Albania,2313
5,Cultural,0,35.4841666667,6.4688611111,Timgad,Algeria,215
6,Cultural,0,35.81844,4.78684,Al Qal'a of Beni Hammad,Algeria,111
7,Mixed,0,25.5,9.0,Tassili n'Ajjer,Algeria,198
8,Cultural,0,36.78333,3.06028,Kasbah of Algiers,Algeria,667
9,Cultural,0,36.55,2.383333333,Tipasa,Algeria,214
10,Cultural,0,32.48333,3.68333,M'Zab Valley,Algeria,209
11,Cultural,0,36.32056,5.73667,Djémila,Algeria,212
12,Cultural,0,42.49472222,1.595555556,Madriu-Perafita-Claror Valley,Andorra,1487
13,Cultural,0,-6.2688888889,14.2497222222,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",Angola,2128
14,Cultural,0,17.0069444444,-61.7616666667,Antigua Naval Dockyard and Related Archaeological Sites,Antigua and Barbuda,2086
15,Natural,0,-25.51805556,-54.13333333,Iguazu National Park,Argentina,340
16,Natural,0,-42.5,-64.0,Península Valdés,Argentina,1092
17,Natural,0,-50.0,-73.24944,Los Glaciares National Park,Argentina,160
18,Cultural,0,-47.15,-70.66666667,"Cueva de las Manos, Río Pinturas",Argentina,1091
19,Cultural,0,-23.19986111,-65.34886111,Quebrada de Humahuaca,Argentina,1295
20,Natural,0,-42.8528,-71.8728,Los Alerces National Park,Argentina,2172
21,Cultural,0,-31.42056,-64.19111,Jesuit Block and Estancias of Córdoba,Argentina,1159
22,Natural,0,-30.0,-68.0,Ischigualasto / Talampaya Natural Parks,Argentina,1130
23,Cultural,0,40.15931,44.29514,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Armenia,1181
24,Cultural,0,40.15889,44.79667,Monastery of Geghard and the Upper Azat Valley,Armenia,1124
25,Cultural,0,41.095,44.71028,Monasteries of Haghpat and Sanahin,Armenia,920
26,Cultural,0,-37.80611111,144.9702778,Royal Exhibition Building and Carlton Gardens,Australia,1730
27,Natural,0,-15.65,144.9666667,Wet Tropics of Queensland,Australia,565
28,Cultural,0,-38.0811111111,141.8852777778,Budj Bim Cultural Landscape,Australia,2262
29,Natural,0,-22.5625,113.8102777778,Ningaloo Coast,Australia,1763
30,Cultural,0,-33.3783333333,150.9944444444,Australian Convict Sites,Australia,1648
31,Natural,0,-19.08333333,138.7166667,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),Australia,826
32,Natural,0,-17.5,128.5,Purnululu National Park,Australia,1272
33,Natural,0,-33.7,150.0,Greater Blue Mountains Area,Australia,1071
34,Natural,0,-25.21666667,153.1333333,Fraser Island,Australia,748
